datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-12-03T00:00:00Z,1.26581,1.26996,1.26364,1.26738,68074,5,0,68074
2024-12-04T00:00:00Z,1.26737,1.27212,1.26298,1.27008,78889,5,0,78889
2024-12-05T00:00:00Z,1.27009,1.27704,1.2692700000000001,1.27599,60800,7,0,60800
2024-12-06T00:00:00Z,1.27602,1.28111,1.2721,1.2741500000000001,63282,5,0,63282
2024-12-09T00:00:00Z,1.27392,1.27987,1.27165,1.27482,51381,7,0,51381
2024-12-10T00:00:00Z,1.27482,1.27792,1.27237,1.27792,57627,7,0,57627
2024-12-11T00:00:00Z,1.27792,1.27814,1.27129,1.27647,69176,7,0,69176
2024-12-12T00:00:00Z,1.27647,1.2787600000000001,1.26662,1.26768,71095,7,0,71095
2024-12-13T00:00:00Z,1.26764,1.26789,1.26079,1.26197,57665,7,0,57665
2024-12-15T00:00:00Z,1.26064,1.26272,1.26023,1.26263,1910,7,0,1910
2024-12-16T00:00:00Z,1.2626,1.26985,1.26257,1.26898,52308,7,0,52308
2024-12-17T00:00:00Z,1.26898,1.27286,1.26657,1.27103,57457,7,0,57457
2024-12-18T00:00:00Z,1.27103,1.27277,1.25619,1.25672,78884,7,0,78884
2024-12-19T00:00:00Z,1.2567300000000001,1.26666,1.24946,1.2496800000000001,83033,5,0,83033
2024-12-20T00:00:00Z,1.2496800000000001,1.26136,1.24743,1.25678,67684,5,0,67684
2024-12-22T00:00:00Z,1.25574,1.25742,1.25529,1.25701,2149,7,0,2149
2024-12-23T00:00:00Z,1.25702,1.25879,1.2509700000000001,1.25324,52584,5,0,52584
2024-12-24T00:00:00Z,1.25324,1.25744,1.25183,1.25356,38291,5,0,38291
2024-12-25T00:00:00Z,1.25311,1.25482,1.25311,1.2543,1688,7,0,1688
2024-12-26T00:00:00Z,1.2542900000000001,1.25481,1.25009,1.2527599999999999,39192,7,0,39192
2024-12-27T00:00:00Z,1.2527599999999999,1.25923,1.25048,1.25778,52020,5,0,52020
2024-12-29T00:00:00Z,1.25702,1.25874,1.25606,1.25774,1574,7,0,1574
2024-12-30T00:00:00Z,1.25774,1.2607,1.2506,1.25478,56890,7,0,56890
2024-12-31T00:00:00Z,1.25478,1.25691,1.2505,1.2512400000000001,56672,7,0,56672
2025-01-01T00:00:00Z,1.25081,1.25195,1.25033,1.25193,1918,7,0,1918
2025-01-02T00:00:00Z,1.25189,1.2540200000000001,1.23521,1.23796,67937,5,0,67937
2025-01-03T00:00:00Z,1.23793,1.24337,1.2378,1.24221,46667,7,0,46667
2025-01-05T00:00:00Z,1.24169,1.24336,1.24072,1.24244,2017,7,0,2017
2025-01-06T00:00:00Z,1.24246,1.25509,1.24174,1.25094,83271,5,0,83271
2025-01-07T00:00:00Z,1.2509700000000001,1.25757,1.24726,1.24757,66567,5,0,66567
2025-01-08T00:00:00Z,1.24757,1.24938,1.23204,1.23576,82711,5,0,82711
2025-01-09T00:00:00Z,1.23577,1.23651,1.22378,1.22983,70076,7,0,70076
2025-01-10T00:00:00Z,1.22983,1.23215,1.2191,1.22074,83648,7,0,83648
2025-01-12T00:00:00Z,1.21935,1.22096,1.21918,1.22039,1731,8,0,1731
2025-01-13T00:00:00Z,1.22036,1.22499,1.20993,1.22311,85312,7,0,85312
2025-01-14T00:00:00Z,1.22308,1.22458,1.21391,1.22102,84753,7,0,84753
2025-01-15T00:00:00Z,1.22102,1.2306,1.21604,1.22421,84878,7,0,84878
2025-01-16T00:00:00Z,1.22421,1.226,1.21745,1.2234099999999999,77238,7,0,77238
2025-01-17T00:00:00Z,1.22342,1.22441,1.21601,1.21678,69480,7,0,69480
2025-01-19T00:00:00Z,1.2163,1.21769,1.21597,1.21745,2041,7,0,2041
2025-01-20T00:00:00Z,1.21744,1.23447,1.21651,1.23314,96197,7,0,96197
2025-01-21T00:00:00Z,1.23316,1.23603,1.22292,1.23379,103935,7,0,103935
2025-01-22T00:00:00Z,1.23377,1.23758,1.23071,1.23135,70587,7,0,70587
2025-01-23T00:00:00Z,1.2313399999999999,1.23753,1.22928,1.23533,75199,7,0,75199
2025-01-24T00:00:00Z,1.2353399999999999,1.25016,1.23482,1.24811,78377,7,0,78377
2025-01-26T00:00:00Z,1.24644,1.24722,1.2456,1.2458,2670,7,0,2670
2025-01-27T00:00:00Z,1.2458,1.25234,1.24258,1.24511,83870,5,0,83870
