datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-22T18:30:00Z,1.3507500000000001,1.35088,1.35071,1.3508499999999999,156,0,0,156
2026-04-22T18:35:00Z,1.3508499999999999,1.35096,1.35073,1.35087,114,0,0,114
2026-04-22T18:40:00Z,1.35087,1.351,1.35086,1.35099,112,0,0,112
2026-04-22T18:45:00Z,1.35098,1.35108,1.35091,1.35098,128,0,0,128
2026-04-22T18:50:00Z,1.35098,1.35098,1.35065,1.35068,112,0,0,112
2026-04-22T18:55:00Z,1.35068,1.3507,1.35041,1.35056,156,0,0,156
2026-04-22T19:00:00Z,1.35058,1.3506,1.3501,1.3506,281,0,0,281
2026-04-22T19:05:00Z,1.35059,1.3508,1.35056,1.35064,136,0,0,136
2026-04-22T19:10:00Z,1.35064,1.35069,1.35055,1.35062,141,0,0,141
2026-04-22T19:15:00Z,1.35062,1.35086,1.35062,1.3507,129,0,0,129
2026-04-22T19:20:00Z,1.3507,1.35079,1.35062,1.35069,122,0,0,122
2026-04-22T19:25:00Z,1.35069,1.351,1.35066,1.35088,175,0,0,175
2026-04-22T19:30:00Z,1.35087,1.3509,1.3507,1.3507500000000001,104,0,0,104
2026-04-22T19:35:00Z,1.3507500000000001,1.35084,1.35058,1.3507500000000001,180,0,0,180
2026-04-22T19:40:00Z,1.35076,1.3508200000000001,1.35056,1.35064,128,0,0,128
2026-04-22T19:45:00Z,1.35063,1.3507,1.3505099999999999,1.3506,165,0,0,165
2026-04-22T19:50:00Z,1.35061,1.35066,1.35031,1.35039,178,0,0,178
2026-04-22T19:55:00Z,1.3504,1.35045,1.35013,1.35037,206,0,0,206
2026-04-22T20:00:00Z,1.35037,1.3504,1.35011,1.35018,140,0,0,140
2026-04-22T20:05:00Z,1.35018,1.35028,1.34991,1.34995,110,0,0,110
2026-04-22T20:10:00Z,1.34995,1.3501,1.3498999999999999,1.35006,79,0,0,79
2026-04-22T20:15:00Z,1.35006,1.3502100000000001,1.35006,1.3501400000000001,57,0,0,57
2026-04-22T20:20:00Z,1.3501400000000001,1.35037,1.3501400000000001,1.35034,83,0,0,83
2026-04-22T20:25:00Z,1.35034,1.3504399999999999,1.35031,1.35039,63,0,0,63
2026-04-22T20:30:00Z,1.35039,1.3504800000000001,1.35029,1.35046,90,0,0,90
2026-04-22T20:35:00Z,1.35046,1.35046,1.34986,1.3501699999999999,187,0,0,187
2026-04-22T20:40:00Z,1.3501699999999999,1.3502,1.35012,1.35018,111,0,0,111
2026-04-22T20:45:00Z,1.35018,1.35038,1.35004,1.35026,110,0,0,110
2026-04-22T20:50:00Z,1.35027,1.35034,1.35016,1.35026,157,0,0,157
2026-04-22T20:55:00Z,1.35026,1.35028,1.35013,1.35025,106,0,0,106
2026-04-22T21:00:00Z,1.35025,1.35026,1.3502399999999999,1.35026,10,0,0,10
2026-04-22T21:05:00Z,1.35025,1.35027,1.35022,1.35025,34,0,0,34
2026-04-22T21:10:00Z,1.3502399999999999,1.35029,1.35022,1.35025,65,10,0,65
2026-04-22T21:15:00Z,1.35026,1.35029,1.35022,1.35023,109,6,0,109
2026-04-22T21:20:00Z,1.3502399999999999,1.3502399999999999,1.3501,1.3502100000000001,125,21,0,125
2026-04-22T21:25:00Z,1.3502,1.35023,1.35016,1.35022,35,17,0,35
2026-04-22T21:30:00Z,1.35022,1.35032,1.3502100000000001,1.35031,27,13,0,27
2026-04-22T21:35:00Z,1.3503,1.35033,1.35029,1.35032,22,12,0,22
2026-04-22T21:40:00Z,1.35032,1.35033,1.35031,1.35032,35,12,0,35
2026-04-22T21:45:00Z,1.35032,1.35034,1.35028,1.35033,33,18,0,33
2026-04-22T21:50:00Z,1.35033,1.35035,1.3502399999999999,1.35026,36,37,0,36
2026-04-22T21:55:00Z,1.35026,1.35034,1.35025,1.35029,20,18,0,20
2026-04-22T22:00:00Z,1.35032,1.35055,1.3502100000000001,1.35027,86,0,0,86
2026-04-22T22:05:00Z,1.35027,1.35038,1.35025,1.35025,51,0,0,51
2026-04-22T22:10:00Z,1.35025,1.35038,1.3501699999999999,1.3502399999999999,41,0,0,41
2026-04-22T22:15:00Z,1.3502399999999999,1.35038,1.3502399999999999,1.35036,18,0,0,18
2026-04-22T22:20:00Z,1.35036,1.35038,1.3502399999999999,1.35026,34,0,0,34
2026-04-22T22:25:00Z,1.35026,1.35037,1.35019,1.3502100000000001,44,0,0,44
2026-04-22T22:30:00Z,1.3502100000000001,1.35034,1.35018,1.3502399999999999,61,0,0,61
2026-04-22T22:35:00Z,1.3502399999999999,1.35026,1.3501400000000001,1.35016,47,0,0,47
2026-04-22T22:40:00Z,1.35016,1.3501699999999999,1.35004,1.35004,35,0,0,35
2026-04-22T22:45:00Z,1.35004,1.35026,1.35004,1.35025,56,0,0,56
2026-04-22T22:50:00Z,1.35025,1.35026,1.35012,1.3502100000000001,55,0,0,55
2026-04-22T22:55:00Z,1.3502100000000001,1.35023,1.35013,1.35015,43,0,0,43
2026-04-22T23:00:00Z,1.35015,1.35019,1.35001,1.35007,69,0,0,69
2026-04-22T23:05:00Z,1.35007,1.35008,1.35005,1.35005,20,0,0,20
2026-04-22T23:10:00Z,1.35005,1.35008,1.35001,1.35008,40,0,0,40
2026-04-22T23:15:00Z,1.35007,1.35018,1.34998,1.3501699999999999,40,0,0,40
2026-04-22T23:20:00Z,1.3501699999999999,1.35018,1.35009,1.3501,54,0,0,54
2026-04-22T23:25:00Z,1.3501,1.3502,1.3501,1.35018,43,0,0,43
2026-04-22T23:30:00Z,1.35018,1.35022,1.35007,1.3502100000000001,44,0,0,44
2026-04-22T23:35:00Z,1.35022,1.35025,1.3501699999999999,1.3501699999999999,25,0,0,25
2026-04-22T23:40:00Z,1.35018,1.35018,1.3501699999999999,1.3501699999999999,18,0,0,18
2026-04-22T23:45:00Z,1.35018,1.35031,1.35012,1.35019,101,0,0,101
2026-04-22T23:50:00Z,1.35018,1.35019,1.34997,1.35008,93,0,0,93
2026-04-22T23:55:00Z,1.35008,1.35008,1.34993,1.35,81,0,0,81
2026-04-23T00:00:00Z,1.35,1.35033,1.3496299999999999,1.35009,269,0,0,269
