datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-07-30T00:00:00Z,1.0819,1.08355,1.07979,1.08155,31613,6,0,31613
2024-07-31T00:00:00Z,1.08155,1.0849,1.08016,1.08237,46183,6,0,46183
2024-08-01T00:00:00Z,1.08237,1.0835,1.07769,1.07863,45377,6,0,45377
2024-08-02T00:00:00Z,1.07862,1.09263,1.07817,1.09105,52782,5,0,52782
2024-08-04T00:00:00Z,1.09177,1.09211,1.09019,1.09101,4020,6,0,4020
2024-08-05T00:00:00Z,1.09101,1.1008499999999999,1.08924,1.09503,99924,5,0,99924
2024-08-06T00:00:00Z,1.09503,1.09627,1.09036,1.09257,59990,6,0,59990
2024-08-07T00:00:00Z,1.09256,1.09364,1.09052,1.09273,46900,6,0,46900
2024-08-08T00:00:00Z,1.09276,1.09448,1.08812,1.09144,45114,5,0,45114
2024-08-09T00:00:00Z,1.09145,1.0930900000000001,1.09087,1.09152,30134,6,0,30134
2024-08-11T00:00:00Z,1.09147,1.09187,1.09099,1.09124,1859,6,0,1859
2024-08-12T00:00:00Z,1.09124,1.0939,1.09116,1.09358,28726,6,0,28726
2024-08-13T00:00:00Z,1.09358,1.09993,1.09135,1.09955,34330,5,0,34330
2024-08-14T00:00:00Z,1.09955,1.10471,1.09862,1.10114,36169,5,0,36169
2024-08-15T00:00:00Z,1.10114,1.10152,1.09494,1.09723,32680,5,0,32680
2024-08-16T00:00:00Z,1.09723,1.10293,1.09716,1.10274,26901,5,0,26901
2024-08-18T00:00:00Z,1.10255,1.10336,1.10226,1.10244,1116,6,0,1116
2024-08-19T00:00:00Z,1.10242,1.10873,1.10229,1.1085,20877,6,0,20877
2024-08-20T00:00:00Z,1.10853,1.11314,1.10715,1.11271,24429,5,0,24429
2024-08-21T00:00:00Z,1.11272,1.1174,1.10989,1.11546,31111,6,0,31111
2024-08-22T00:00:00Z,1.11547,1.1165,1.10979,1.11157,25927,5,0,25927
2024-08-23T00:00:00Z,1.11154,1.12006,1.1105,1.11927,29910,5,0,29910
2024-08-25T00:00:00Z,1.11895,1.11939,1.1186099999999999,1.1189,1424,6,0,1424
2024-08-26T00:00:00Z,1.11892,1.12014,1.11497,1.1164,25832,5,0,25832
2024-08-27T00:00:00Z,1.11642,1.11903,1.11496,1.11767,24552,6,0,24552
2024-08-28T00:00:00Z,1.11768,1.11799,1.11047,1.11242,28255,6,0,28255
2024-08-29T00:00:00Z,1.1124,1.11395,1.10554,1.10798,33503,4,0,33503
2024-08-30T00:00:00Z,1.10801,1.10946,1.10435,1.10475,30353,6,0,30353
2024-09-01T00:00:00Z,1.10477,1.10495,1.10438,1.10444,1538,6,0,1538
2024-09-02T00:00:00Z,1.10444,1.1077,1.10416,1.10671,26092,6,0,26092
2024-09-03T00:00:00Z,1.10671,1.10698,1.10261,1.10481,43273,5,0,43273
2024-09-04T00:00:00Z,1.10479,1.1095,1.10397,1.10799,40380,5,0,40380
2024-09-05T00:00:00Z,1.10799,1.11196,1.10744,1.11109,42395,4,0,42395
2024-09-06T00:00:00Z,1.11109,1.11549,1.10655,1.10852,57064,5,0,57064
2024-09-08T00:00:00Z,1.10823,1.10906,1.10816,1.10864,2107,6,0,2107
